Group,Subgroup,Genus,Species,Stage bin,Body size (cm),Citation
Agnatha,Osteostraci,Wladysagitta,janvieri,Pragian,17,Voichyshyn 2006
Agnatha,Heterostraci,Poraspis,sp.,Pragian,6.2,Elliott and Petriello 2011
Agnatha,Heterostraci,Dnestraspis,firma,Pragian,17,Voichyshyn 2011
Agnatha,Heterostraci,Parapteraspis,plana,Pragian,17,Voichyshyn 2011
Agnatha,Heterostraci,Alaeckaspis,ustechiensis,Pragian,22,Voichyshyn 2011
Agnatha,Heterostraci,Althaspis,elongata,Pragian,22,Voichyshyn 2011
Agnatha,Heterostraci,Althaspis,sapovensis,Pragian,35,Voichyshyn 2011
Agnatha,Heterostraci,Palanasaspis,chekhivensis,Pragian,9.3,Voichyshyn 2011
Agnatha,Heterostraci,Europrotaspis,arnelli,Pragian,21,Voichyshyn 2011
Agnatha,Heterostraci,Pavolaspis,pasternaki,Pragian,21,Voichyshyn 2011
Agnatha,Heterostraci,Weigeltaspis,sp.,Pragian,23,Voichyshyn 2011
Agnatha,Heterostraci,Benneviaspis,whitei,Pragian,11,Voichyshyn 2011
Agnatha,Heterostraci,Benneviaspis,zychi,Pragian,22,Voichyshyn 2011
Agnatha,Heterostraci,Citharaspis,polonica,Pragian,15,Voichyshyn 2011
Agnatha,Heterostraci,Citharaspis,junia,Pragian,15,Voichyshyn 2011
Agnatha,Heterostraci,Zychaspis,granulata,Pragian,18,Voichyshyn 2011
Agnatha,Heterostraci,Doryaspis,nathorsi,Pragian,21,Pernegre 2004
Agnatha,Heterostraci,Doryaspis,arctica,Pragian,17,Pernegre 2004
Agnatha,Heterostraci,Zascinaspis,laticephala,Pragian,38,Blieck & Goujet 1983
Agnatha,Heterostraci,Spitbergaspis,prima,Pragian,14,Pernegre 2004
Agnatha,Heterostraci,Gigantaspis,laticephala,Pragian,28,Pernegre 2004
Agnatha,Heterostraci,Gigantaspis,isachuen,Pragian,55,Pernegre 2004
Agnatha,Heterostraci,Gigantaspis,bocki,Pragian,19,Pernegre 2004
Agnatha,Heterostraci,Drepanaspis,gemuendenensis,Pragian-Emsian,60,Obruchev 1967
Agnatha,Osteostraci,Acrotomaspis,instabilis,Pragian,5.4,Obruchev 1967
Agnatha,Galeaspida,Lungmenshanaspis,yunnanaspis,Pragian,9,Wang et al. 1996
Agnatha,Galeaspida,Sanqiaspis,zhaotongensis,Pragian,11,Zhao & Zhu 2010
Agnatha,Galeaspida,Sanqiaspis,rostrata,Pragian,11,Zhao & Zhu 2010
Agnatha,Galeaspida,Qingmenaspis,microculus,Pragian,5,Liu 1993
Agnatha,Galeaspida,Gantarostrataspis,gengi,Pragian,20,Wang 1992
Agnatha,Galeaspida,Gumuaspis,rostrata,Pragian,15,Wang 1992
Agnatha,Galeaspida,Macrothyraspis,longicornis,Pragian,10,Zhao et al. 2002
Agnatha,Galeaspida,Hunanaspis,wudinensis,Pragian,23,Liu 1975
Agnatha,Galeaspida,Wenshanaspis,zhichangensis,Pragian,9,Zhao et al. 2002
Agnatha,Galeaspida,Zhaotongaspis,janvieri,Pragian,20,Wang & Zhu 1994
Agnatha,Galeaspida,Pterogonaspis,yuhaii,Pragian,21,Zhu 1992
Agnatha,Galeaspida,Dongfangaspis,major,Pragian,80,Liu 1975
Agnatha,Galeaspida,Lungmenshanaspis,kiangyouensis,Pragian,41,Wang et al. 1996
Agnatha,Galeaspida,Eugaleaspis,xujiachongensis,Pragian,14,Zhao & Zhu 2010
Agnatha,Heterostraci,Zascinaspis,carmani,Pragian,33,Blieck & Goujet 1983
Agnatha,Heterostraci,Allocryptaspis,laticostatus,Pragian,25,Denison 1960
Agnatha,Heterostraci,Cosmaspis,transversa,Pragian,38,Denison 1970
Agnatha,Heterostraci,Lampraspis,tuberculata,Pragian,32,Denison 1970
Agnatha,Heterostraci,Protaspis,brevispina,Pragian,48,Denison 1970
Agnatha,Heterostraci,Protaspis,mcgrewi,Pragian,37,Denison 1970
Agnatha,Heterostraci,Cardipeltis,richardsoni,Pragian,36,Denison 1966
Agnatha,Heterostraci,Cardipeltis,bryanti,Pragian,37,Denison 1966
Agnatha,Heterostraci,Amphiaspis,argos,Pragian,49,Obruchev 1967
Agnatha,Heterostraci,Hibernaspis,macrolepis,Pragian-Emsian,41,Obruchev 1967
Agnatha,Heterostraci,Eglonaspis,rostrata,Pragian-Emsian,38,Obruchev 1967
Agnatha,Heterostraci,Olbiaspis,coalescens,Pragian-Emsian,29,Obruchev 1967
Agnatha,Heterostraci,Siberiaspis,plana,Pragian-Emsian,26,Obruchev 1967
Agnatha,Heterostraci,Angaraspis,urvantzevi,Pragian-Emsian,23,Obruchev 1967
Agnatha,Osteostraci,Gustavaspis,trinodis,Emsian-Eifelian,7,Obruchev 1967
Agnatha,Heterostraci,Poraspis,thomasi,Emsian,6.2,Elliott and Petriello 2011
Agnatha,Galeaspida,Duyunaspis,paoyangensis,Emsian,20,Zhao & Zhu 2010
Agnatha,Heterostraci,Panamintaspis,snowi,Emsian,52,Elliott & Ilyes 1996
Agnatha,Heterostraci,Blieckaspis,priscillae,Emsian,46,Elliott & Ilyes 1996
Agnatha,Heterostraci,Indet. Pteraspidid,A,Emsian,9.7,Elliott & Ilyes 1996
Agnatha,Heterostraci,Indet. Pteraspidid,B,Emsian,15,Elliott & Ilyes 1996
Agnatha,Osteostraci,Yvonaspis,campbelltonensis,Emsian-Eifelian,44,Belles-Isles 1988
Agnatha,Osteostraci,Yvonaspis,westolli,Emsian-Eifelian,35,Belles-Isles 1988
Agnatha,Osteostraci,Parameteoraspis,moythomasi,Emsian-Eifelian,27,Belles-Isles 1988
Agnatha,Heterostraci,Pleurgaspis,macrorhyncha,Emsian,23,Obruchev 1967
Agnatha,Osteostraci,Nectaspis,areolata,Emsian,12,Obruchev 1967
Agnatha,Heterostraci,Lechriaspis,patula,Emsian,12,Elliott and Petriello 2011
Agnatha,Heterostraci,Cardipeltis,wallaci,Emsian,43,Denison 1966
Agnatha,Heterostraci,Protaspis,dorfi,Emsian,41,Bryant 1933
Agnatha,Heterostraci,Protaspis,bucheri,Emsian,24,Denison 1953
Agnatha,Osteostraci,Cephalaspis,wyomingensis,Emsian,30,Bryant 1933
Agnatha,Osteostraci,Cephalaspis,utahensis,Emsian,15,Elliott et al. 1999
Agnatha,Osteostraci,Cephalaspis,brevirostris,Emsian,20,Denison 1952
Agnatha,Heterostraci,Allocryptaspis,utahensis,Emsian,30,Denison 1953a
Agnatha,Heterostraci,Allocryptaspis,ellipticus,Emsian,25,Denison 1953a
Agnatha,Heterostraci,Clydonaspis,fabrensis,Emsian,25,Elliott 1994
Agnatha,Heterostraci,Oreaspis,dunklei,Emsian,19,Denison 1970
Agnatha,Heterostraci,Oreaspis,williamsi,Emsian,33,Denison 1970
Agnatha,Heterostraci,Tuberculaspis,elyensis,Emsian,11,Ilyes and Elliott 1994
Agnatha,Heterostraci,Pirumaspis,lancasteri,Emsian,28,Ilyes and Elliott 1994
Agnatha,Heterostraci,Lamiaspis,longiripa,Emsian,24,Ilyes and Elliott 1994
Agnatha,Osteostraci,Ilemoraspis,kirkinskayae,Emsian-Givetian,20,Sansom et al. 2008
Agnatha,Heterostraci,Tartuosteus,sp.,Eifelian-Givetian,200,Elliott et al. 2004
Agnatha,Heterostraci,Pycnosteus,sp.,Eifelian-Givetian,200,Elliott et al. 2004
Agnatha,Osteostraci,Balticaspis,latvica,Eifelian,5,Otto & Laurin 2001
Agnatha,Heterostraci,Psammosteus,praecursor,Eifelian-Frasnian,84,Elliott & Mark-Kurik 2005
Agnatha,Heterostraci,Psammosteus,livonicus,Eifelian-Givetian,74,Elliott & Mark-Kurik 2005
Agnatha,Heterostraci,Psammolepis,venyukovi,Eifelian-Givetian,79,Lebedev et al. 2009
Agnatha,Heterostraci,Psammolepis,proia,Eifelian-Givetian,101,Elliott & Mark-Kurik 2005
Agnatha,Heterostraci,Psammolepis,undulata,Eifelian-Givetian,56,Elliott & Mark-Kurik 2005
Agnatha,Galeaspida,Clarorbis,apponomedianus,Eifelian,20,Pan & Ji 1993
Agnatha,Heterostraci,Rhinopteraspis,cornubica,Eifelian,14,Tarlo 1961
Agnatha,Osteostraci,Trewinia,magnifica,Eifelian-Frasnian,60,Moy-Thomas & Miles 1971
Agnatha,Hyperoartii,Cornovichthys,blaauweni,Eifelian,12,Newman & Trewin 2001
Agnatha,Heterostraci,Psammosteus,bergi,Givetian,98,Elliott & Mark-Kurik 2005
Agnatha,Heterostraci,Schizosteus,shkurlatensis,Givetian,39,Moloshnikov 2009
Agnatha,Heterostraci,Tartuosteus,zhelezniogerskensis,Frasnian,56,Moloshnikov 2007
Agnatha,Osteostraci,Alaspis,rosamundae,Frasnian,180,Janvier & Arsenault 1996
Agnatha,Osteostraci,Escuminaspis,laticeps,Frasnian,38,Janvier et al. 2004
Agnatha,Heterostraci,Aspidosteus,heckeri,Frasnian,100,Obruchev 1967
Agnatha,Heterostraci,Obruchevia,heckleri,Frasnian,140,Elliott et al. 2004
Agnatha,Heterostraci,Perscheia,pulla,Frasnian,49,Elliott et al. 2004
Agnatha,Anaspida,Legendrelepis,parenti,Frasnian,8.5,Janvier 1996
Agnatha,Anaspida,Eupanerops,longaevus,Frasnian,10,Janvier 1996
Agnatha,Anaspida,Endeiolepis,aneri,Frasnian,16,Janvier 1996
Agnatha,Osteostraci,Levesquaspis,patteni,Frasnian,10,Robertson 1936
Chondrichthyes,Elasmobranchii,Antarctilamna,sp.,Pragian-Emsian,40,Long 2011
Chondrichthyes,NA,Stensioella,heintzi,Pragian-Emsian,22,Bartels et al. 1998
Chondrichthyes,Elasmobranchii,Doliodus,problematicus,Emsian,23,Miller et al. 2003
Chondrichthyes,NA,Zamponiopteron,spinifera,Emsian-Eifelian,43,Maisley & Janvier 2011
Chondrichthyes,NA,Pucapampella,rodrigae,Emsian-Eifelian,25,Janvier & Suarez-Riglos 1986
Chondrichthyes,NA,Pucapampella,sp.,Emsian-Eifelian,30,Maisley & Janvier 2011
Chondrichthyes,NA,Acmoniodus,clarkei,Frasnian,200,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoselache,acanthopterygius,Frasnian,68,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoselache,brachypterygius,Frasnian,69,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoselache,desmopterygius,Frasnian,29,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoselache,fyleri,Frasnian,39,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoselache,kepleri,Frasnian,160,Hussakof and Bryant 1918
Chondrichthyes,NA,Cladoides,wildungensis,Frasnian,50,Maisley 2005
Chondrichthyes,Elasmobranchii,Ctenacanthus,major,Frasnian-Visean,270,Maisley 1981
Chondrichthyes,Elasmobranchii,Ctenacanthus,chemungensis,Frasnian,76,Lelievre & Derycke 1998
Chondrichthyes,Elasmobranchii,Ctenacanthus,randalli,Frasnian,230,Eastman 1907
Chondrichthyes,NA,Gladbachus,adentadus,Frasnian,11,Ginter 2004
Chondrichthyes,NA,Rhynchodus,pertenius,Frasnian,110,Eastman 1907
Chondrichthyes,Elasmobranchii,Protacrodus,vetustus,Frasnian-Tournaisian,36,Zangerl 1981
Chondrichthyes,NA,Diademodus,hydei,Famennian,40,Harris 1951
Chondrichthyes,NA,Tamiobatis,vestustus,Famennian,120,Williams 1998
Chondrichthyes,Elasmobranchii,Ctenacanthus,compressus,Famennian-Tournaisian,140,Maisley 1981
Chondrichthyes,Elasmobranchii,Ctenacanthus,angustus,Famennian-Tournaisian,190,Lelievre & Derycke 1998
Chondrichthyes,Elasmobranchii,Ctenacanthus,nodocostatus,Famennian,130,Newberry 1889
Chondrichthyes,NA,Ageleodus,pectinatus,Famennian,50,Long 2011
Chondrichthyes,NA,Plesiosclachus,macracanthus,Famennian,16,Coates & Gess 2007
Chondrichthyes,NA,Tuberospina,nataliae,Famennian,82,Lebedev 1995
Chondrichthyes,NA,Thoralodus,cabrieri,Famennian,140,Vorobyeva and Obruchev 1967
Chondrichthyes,NA,Stethacanthus,sp.,Famennian,70,Zhao & Zhu 2010
Chondrichthyes,Elasmobranchii,"""Ctenacanthus""",vetustus,Famennian,180,Maisley 1981
Chondrichthyes,Elasmobranchii,Tristychius,arcuatus,Tournaisian-Serpukhovian,50,Zangerl 1981
Chondrichthyes,Elasmobranchii,Ctenacanthus,altoensis,Tournaisian,150,"Lund and Grogan, 2005"
Chondrichthyes,Elasmobranchii,Ctenacanthus,formosus,Tournaisian,270,Newberry 1873
Chondrichthyes,Elasmobranchii,Ctenacanthus,littoni,Tournaisian,290,Newberry 1889
Chondrichthyes,Elasmobranchii,Ctenacanthus,varians,Tournaisian,76,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Ctenacanthus,keokuk,Tournaisian,190,Eastman 1902
Chondrichthyes,Elasmobranchii,Symmorium,sp.,Tournaisian-Visean,200,Zangerl 1981
Chondrichthyes,Elasmobranchii,Acondylacanthus,gracilis,Tournaisian,200,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Anaclitacanthus,semicostatus,Tournaisian,120,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Phoebodus,sp.,Tournaisian,70,Zangerl 1981
Chondrichthyes,Elasmobranchii,Sphenacanthus,marshi,Tournaisian,140,Newberry 1873
Chondrichthyes,Holocephali,Mazodus,kepleri,Tournaisian,34,Newberry 1889
Chondrichthyes,Symmorida,Denaea,sp.,Tournaisian-Serpukhovian,50,Zangerl 1981
Chondrichthyes,Holocephali,Helodus,coniculus,Tournaisian,45,Vorobyeva & Obruchev 1967
Chondrichthyes,Elasmobranchii,Eunemacanthus,krapivnensis,Tournaisian,52,Lebedev 1996
Chondrichthyes,Elasmobranchii,Xenacanthus,sp.,Tournaisian,200,Moy-Thomas 1971
Chondrichthyes,Holocephali,Physonemus,gemmatus,Tournaisian,200,Eastman 1917
Chondrichthyes,Elasmobranchii,Bythiacanthus,ianishevskyi,Tournaisian-Visean,80,Eastman 1902
Chondrichthyes,Elasmobranchii,Bythiacanthus,lucasi,Tournaisian,68,Eastman 1902
Chondrichthyes,Elasmobranchii,Bythiacanthus,solidus,Tournaisian,72,Eastman 1902
Chondrichthyes,Symmorida,Falcatus,falcatus,Tournaisian-Serpukhovian,30,Lund and Grogan 2005
Chondrichthyes,Elasmobranchii,Asteroptychius,elegans,Tournaisian,110,Newberry 1889
Chondrichthyes,Elasmobranchii,Wodnika?,triangularis,Tournaisian,80,Zangerl 1981
Chondrichthyes,Holocephali,Glymmatacanthus,irishii,Tournaisian,170,St. John & Worthen 1875
Chondrichthyes,Holocephali,Batacanthus,baculiformis,Tournasian,190,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Goodrichthys,eksdalensis,Visean,90 or 200?,Zangerl 1981
Chondrichthyes,Elasmobranchii,Onychoselache,traquairi,Visean-Serpukhovian,15,Zangerl 1981
Chondrichthyes,Elasmobranchii,Sphenacanthus,serrulatus,Visean,230,Zangerl 1981
Chondrichthyes,Holocephali,Deltoptychius,armigerus,Visean-Serpukhovian,45,Moy-Thomas 1971
Chondrichthyes,Holocephali,Chondrenchelys,problematica,Visean,17,Coates Pers. Comm
Chondrichthyes,Elasmobranchii,Ctenacanthus,costellatus,Visean,90,Zangerl 1981
Chondrichthyes,Elasmobranchii,Ctenacanthus,denticulatus,Visean,76,Newberry 1873
Chondrichthyes,Holocephali,Eucentrurus,paradoxus,Visean,6,Stahl 1999
Chondrichthyes,Elasmobranchii,Cladodus,elegans,Visean,120,Ginter & Maisley 2007
Chondrichthyes,Symmorida,Stethacanthus,altonensis,Visean-Serpukhovian,150,Lund & Grogan 2005
Chondrichthyes,Elasmobranchii,Asteroptychius,semiornatus,Visean,52,McCoy 1854
Chondrichthyes,Elasmobranchii,Coelosteus,ferox,Visean,270,Newberry 1889
Chondrichthyes,Elasmobranchii,Cratoselache,pruvosti,Visean,73,Zangerl 1981
Chondrichthyes,Holocephali,Deltodus,croftoni,Visean,94,Woodward 1900
Chondrichthyes,Holocephali,Helodus,turgidus,Visean,45,Stahl 1999
Chondrichthyes,Holocephali,Physonemus,arcuatus,Visean,300,Newberry 1889
Chondrichthyes,Holocephali,Physonemus,altonensis,Visean,140,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Psammodus,sp.,Visean,70,Gijon & Rodriguez 1991
Chondrichthyes,Holocephali,Erismacanthus,jonesi,Visean,83,Stahl 1999
Chondrichthyes,Holocephali,Erismacanthus,maccoyanus,Visean,25,Stahl 1999
Chondrichthyes,Holocephali,Erismacanthus,formosus,Visean,180,Stahl 1999
Chondrichthyes,Elasmobranchii,Amelacanthus,sulcatus,Visean,80,Maisley 1982
Chondrichthyes,Elasmobranchii,Amelacanthus,plicatus,Visean,64,Maisley 1982
Chondrichthyes,Elasmobranchii,Amelacanthus,laevis,Visean,87,Maisley 1982
Chondrichthyes,Elasmobranchii,Amelacanthus,pustulatus,Visean,57,Maisley 1982
Chondrichthyes,Elasmobranchii,Eunemacanthus,costatus,Visean,100,Maisley 1982
Chondrichthyes,Elasmobranchii,Eunemacanthus,heterogyrinus,Visean,87,Maisley 1982
Chondrichthyes,Elasmobranchii,Bythiacanthus,brevis,Visean,120,Maisley 1982
Chondrichthyes,Elasmobranchii,Bythiacanthus,vanhornei,Visean,80,Maisley 1982
Chondrichthyes,Elasmobranchii,Amacanthus,gibbosus,Visean,40,St. John & Worthen 1875
Chondrichthyes,Elasmobranchii,Geisacanthus,stellatus,Visean,40,St. John & Worthen 1875
Chondrichthyes,Holocephali,Stichacanthus,coemansi,Visean,25,Stahl 1999
Chondrichthyes,Symmorida,Akmoniston,zangerli,Serpukhovian,65,Coates & Sequiera 2001
Chondrichthyes,Holocephali,Deltoptychius,sp.,Serpukhovian,50,Frickhinger 1991
Chondrichthyes,Euchrondrocephalii,Gregorius,rexi,Serpukhovian,12,Lund & Grogan 2005
Chondrichthyes,Euchrondrocephalii,Srianta,dawsoni,Serpukhovian,23,Lund & Grogan 2005
Chondrichthyes,Euchrondrocephalii,Debeerius,ellefseni,Serpukhovian,30,Lund & Grogan 2005
Chondrichthyes,Elasmobranchii,Heteropetalus,elegantulus,Serpukhovian,7,Zangerl 1981
Chondrichthyes,Elasmobranchii,Belantsea,montana,Serpukhovian,28 or 67?,Lund & Grogan 2005
Chondrichthyes,Elasmobranchii,Janassa,bituminosa,Serpukhovian,26,Frickhinger 1991
Chondrichthyes,Elasmobranchii,Netsepoye,hawesi,Serpukhovian,5.5,Lund 1989
Chondrichthyes,Elasmobranchii,Petalorhyncus,beargulchensis,Serpukhovian,10,Lund 1989
Chondrichthyes,Elasmobranchii,Siksika,ottae,Serpukhovian,13,Lund 1989
Chondrichthyes,Holocephali,Harpacanthus,fimbriatus,Serpukhovian,20,Lund & Grogan 2005
Chondrichthyes,Chondrechelyiformes,Harpagofugator,volsellorhinus,Serpukhovian,17,Lund 1982
Chondrichthyes,Holocephali,Traquairius,agkistrocephalus,Serpukhovian,46,Lund & Grogan 2005
Chondrichthyes,Holocephali,Traquairius,spinosus,Serpukhovian,30,Lund & Grogan 2005
Chondrichthyes,Symmorida,Damocles,serratus,Serpukhovian,60,Lund & Grogan 2005
Chondrichthyes,Symmorida,Stethacanthus,productus,Serpukhovian,270,Lund & Grogan 2005
Chondrichthyes,Symmorida,Orestiacanthus,fergusi,Serpukhovian,20,Lund 1984
Chondrichthyes,Symmorida,Squatinactis,caudispinatus,Serpukhovian,15,Zangerl 1981
Chondrichthyes,Symmorida,Squatinactis,montanus,Serpukhovian,60,Lund & Grogan 2005
Chondrichthyes,Elasmobranchii,Thrinacoselache,gracia,Serpukhovian,90,Grogan & Lund 2008
Chondrichthyes,Elasmobranchii,Gutturensis,nielsoni,Serpukhovian,135,Sequeira and Coates 2000
Chondrichthyes,Elasmobranchii,Pleuracanthus,horridus,Serpukhovian,28,Traquair 1882
Chondrichthyes,Elasmobranchii,Pleuracanthus,gracilis,Serpukhovian,44,Traquair 1882
Chondrichthyes,Holocephali,Rainerichthys,zangerli,Serpukhovian,12.89,Grogan & Lund 2009
Chondrichthyes,Holocephali,Papillioninchthys,stahlae,Serpukhovian,10.31,Grogan & Lund 2009
Chondrichthyes,Holocephali,Helodus,simplex,Serpukhovian,45,Stahl 1999
Chondrichthyes,Holocephali,Deltodus,angularis,Serpukhovian,66,Stahl et al. 2000
Chondrichthyes,Elasmobranchii,Sphenacanthus,hybodoides,Serpukhovian,190,Maisley 1982
Chondrichthyes,Holocephali,Erismacanthus,sp.,Serpukhovian,12,Stahl 1999
Chondrichthyes,NA,unknown,sp. 1,Serpukhovian,12,Frickhinger 1991
Chondrichthyes,Holocephali,unknown,sp. 2,Serpukhovian,10,Lund & Grogan 2005
Chondrichthyes,Holocephali,unknown,sp. 3,Serpukhovian,10,Lund & Grogan 2005
Chondrichthyes,NA,COCH 1,sp.,Serpukhovian,15,Stahl 1999
Chondrichthyes,Holocephali,Lestrodus,newtoni,Serpukhovian,300,Zangerl 1981
Placodermi,Arthrodira,Kujdanwiaspis,podolica,Lochkovian-Pragian,15,Dupret et al. 2011
Placodermi,Arthrodira,Wheathillaspis,wickhamkingi,Lochkovian,20,Denison 1978
Placodermi,Arthrodira,Heightingtonaspis,anglica,Lochkovian,30,Denison 1978
Placodermi,Arthrodira,Heightingtonaspis,willsi,Lochkovian,50,Denison 1978
Placodermi,Arthrodira,Heightingtonaspis,clarkei,Lochkovian,20,Denison 1978
Placodermi,Arthrodira,Erikaspis,zychi,Lochkovian,50,Dupret et al. 2011
Placodermi,Arthrodira,Palaeacanthaspis,vasta,Lochkovian,20,Dupret et al. 2011
Placodermi,Acanthothoraci,Hagiangella,goujeti,Lochkovian,7,Wang et al. 2010
Placodermi,Antiarcha,Minicrania,lissa,Lochkovian,8,Wang et al. 2010
Placodermi,Antiarcha,Chuchinolepis,dongmoensis,Lochkovian,6,Wang et al. 2010
Placodermi,Antiarcha,Yunnanolepis,bacboensis,Lochkovian,14,Wang et al. 2010
Placodermi,Antiarcha,Yunnanolepis,chii,Lochkovian,18,Zhao & Zhu 2010
Placodermi,Antiarcha,Yunnanolepis,porifera,Lochkovian,7,Zhu 1996
Placodermi,Antiarcha,Heteroyunnanolepis,qujingensis,Lochkovian,22,Zhu 1996
Placodermi,Antiarcha,Chuchinolepis,gracilis,Lochkovian,6,Zhu 1996
Placodermi,Antiarcha,Zhanjilepis,aspriatilis,Lochkovian,6,Zhu 1996
Placodermi,Antiarcha,Minicrania,lirouyii,Lochkovian,4.5,Zhu & Janvier 1996
Placodermi,Petalichthyida,Diandongpetalichthys,liaojaoshanensis,Lochkovian,10,Zhu 1991
Placodermi,Arthrodira,Szelepis,yunnanensis,Lochkovian-Pragian,30,Liu 1979
Placodermi,Antiarcha,Phymolepis,cuifengshanensis,Lochkovian,8,Zhu 1996
Placodermi,Antiarcha,Phymolepis,guoruii,Lochkovian,22,Zhu 1996
Placodermi,Antiarcha,Chuchinolepis,qujingensis,Lochkovian,10,Zhu 1996
Placodermi,Antiarcha,Chuchinolepis,sulcata,Lochkovian,17,Zhu 1996
Placodermi,Antiarcha,Chuchinolepis,robusta,Lochkovian,7,Zhu 1996
Placodermi,Antiarcha,Gavinaspis,convergens,Lochkovian,38,Zhao & Zhu 2010
Placodermi,Antiarcha,Eskimaspis,heintzi,Lochkovian,23,Dineley & Liu 1984
Placodermi,Antiarcha,Baringaspis,dineleyi,Lochkovian,49,Miles 1973
Placodermi,Antiarcha,Yunnanolepis,meemannae,Pragian,29,Thanh & Janvier 1994
Placodermi,Arthrodira,Yujiangolepis,suni,Pragian,25,Zhu et al. 2010
Placodermi,Petalichthyida,Neopetalichthys,yenmenpaensis,Pragian,18,Liu 1973
Placodermi,Arthrodira,Yiminaspis,shenme,Pragian,12,Dupret 2008
Placodermi,Antiarcha,Mizia,longhuanensis,Pragian,6.5,Zhu 1996
Placodermi,Arthrodira,Kujdanwiaspis,buczacziensis,Pragian,30,Dupret 2010
Placodermi,Arthrodira,Radontina,prima,Pragian,40,Denison 1978
Placodermi,Arthrodira,Radontina,tessellata,Pragian,28,Denison 1978
Placodermi,Arthrodira,Arabosteus,variabilis,Pragian,23,Olive et al. 2011
Placodermi,Arthrodira,Eukaia,elongata,Pragian,44,Mark-Kurik 2013
Placodermi,Arthrodira,Tityosteus,rieversi,Pragian,200,Bartels et al. 1998
Placodermi,Arthrodira,Lunaspis,heroldi,Pragian,15,Bartels et al. 1998
Placodermi,Arthrodira,Lunaspis,broilii,Pragian,45,Bartels et al. 1998
Placodermi,Arthrodira,Gemuendina,stuertzi,Pragian,100,Bartels et al. 1998
Placodermi,Arthrodira,Proaethaspis,ohioensis,Pragian,12,Denison 1960
Placodermi,Arthrodira,Kueichowlepis,sinensis,Emsian,48,Liu 1979
Placodermi,Antiarcha,Dayaoshania,youngi,Emsian,18,Ritchie et al. 1992
Placodermi,Arthrodira,Jiuchengia,longoccipita,Emsian-Givetian,110,Wang & Wang 1983
Placodermi,Arthrodira,Exutaspis,megista,Emsian-Givetian,67,Lin & Wang 1981
Placodermi,Arthrodira,Xiangshuiosteus,wui,Emsian,31,Wang 1992
Placodermi,Antiarcha,Liguanolepis,pileos,Emsian,6.7,Zhang & Young 1992
Placodermi,Antiarcha,Wudinolepis,weni,Emsian,4.9,Zhang 1965
Placodermi,Antiarcha,Microbranchius,chuandongensis,Emsian,26,Zhao & Zhu 2010
Placodermi,Antiarcha,Xichonolepis,qujingensis,Emsian-Eifelian,70,Ritchie et al. 1992
Placodermi,Antiarcha,Bothriolepis,tungseni,Emsian-Eifelian,29,Zhang 1965
Placodermi,Arthrodira,Groenlandaspis,sp.,Emsian-Eifelian,25,Dineley 1999
Placodermi,Arthrodira,Taemosteus,novaustrocambricus,Emsian,140,Young 2004
Placodermi,Antiarcha,Bothriolepis,sp.,Emsian,50,Frickhinger 1991
Placodermi,Petalichthyida,Notopetalichthys,hillsi,Emsian,33,Denison 1978
Placodermi,Arthrodira,Goodradigbeeon,australiensis,Emsian,150,White 1978
Placodermi,Arthrodira,Coccosteus,sp.,Emsian,40,Frickhinger 1991
Placodermi,Arthrodira,Edgellaspis,gorteri,Emsian-Eifelian,34,Hunt and Young 2011
Placodermi,Arthrodira,Dhanguura,johnstoni,Emsian,230,Young 2004
Placodermi,Arthrodira,Cathlesichthys,weejasperensis,Emsian,270,Young 2004
Placodermi,Arthrodira,Weejasperensis,gavini,Emsian,20,White 1978
Placodermi,Arthrodira,Burrinjucosteus,asymmetricus,Emsian,94,White 1978
Placodermi,Arthrodira,Buchanosteus,confertituberculatus,Emsian,74,Young 1979
Placodermi,Arthrodira,Arenipiscis,westolli,Emsian,87,Young 1981
Placodermi,Arthrodira,Errolosteus,goodragibeensis,Emsian,77,Young 1981
Placodermi,Arthrodira,Elvaspis,tuberculata,Emsian,15,Young 2009
Placodermi,Arthrodira,Elvaspis,whitei,Emsian,11,Young 2009
Placodermi,Arthrodira,Bimbianga,burrinjuckensis,Emsian,130,Young 2005
Placodermi,Petalichthyida,Wijdeaspis,warrooensis,Emsian,20,Denison 1978; Young 1978
Placodermi,Arthrodira,Nefundia,qalibahensis,Emsian,51,Lelievre et al. 1985
Placodermi,Arthrodira,Aleosteus,eganensis,Emsian,18,Johnson et al. 2000
Placodermi,Arthrodira,Anarthraspis,montana,Emsian,69,Bryant & Ruedemann 1934
Placodermi,Arthrodira,Bryantolepis,brachycephala,Emsian,14,Elliott & Carr 2010
Placodermi,Arthrodira,Bryantolepis,williamsi,Emsian,22,Elliott & Carr 2010
Placodermi,Arthrodira,Simblaspis,cachensis,Emsian,47,Denison 1953b
Placodermi,Arthrodira,Aethaspis,major,Emsian,59,Denison 1953b
